Agriculture_value_added_GDP_percentage,Primary School age Children_out_of_school,GPD_Per_Capita_Percentage,Human_Development_Index,Trade_GDP,NumberOfConflicts
1.047113549,2.257706704,-0.053447072,-1.307591426,-0.519968563,-0.236218323
0.965545394,2.15498887,0.412602066,-1.307591426,-0.522922897,-0.239771382
0.824457111,2.052271036,-0.043704225,-1.307591426,-0.388323966,-0.237639547
1.073504653,1.795476451,0.520533248,0.016608078,-0.421844243,-0.236218323
0.946125258,1.590040784,0.188754884,0.053278218,-0.39569653,-0.234797099
0.722070266,1.333246199,0.1041956,0.098097278,-0.424184022,-0.239771382
1.138170554,1.025092697,0.325049507,0.142916339,-0.40553894,-0.231954652
0.88259697,0.871015947,-0.263771331,0.179586479,-0.31904136,-0.239771382
0.884990307,1.076451614,0.06486329,0.228479999,-0.141304104,-0.236928935
0.787163886,0.81965703,0.236666055,0.257001219,0.05413497,-0.142417558
0.853990901,0.768298113,0.214690052,0.289596899,0.149360424,-0.192160388
0.882485771,0.716939196,0.127250236,0.314043659,0.245931488,-0.21205752
0.84242324,0.665580279,-0.069207829,0.318118119,0.111175236,-0.153076736
0.781692572,0.562862445,-0.124827927,0.330341499,0.142107171,-0.158051019
0.620053111,0.254708943,0.153482291,-1.307591426,0.024638679,-0.165867749
-1.081747036,-0.977905063,-0.248732113,-1.307591426,-1.169658543,-0.094095952
-1.081747036,-0.977905063,-0.248732113,-1.307591426,-1.169658543,-0.121099202
1.553703648,2.719936956,-0.631430588,-0.231933983,-0.658807041,-0.086279221
1.57051399,1.846835368,0.240358099,-0.215636143,-0.592210075,-0.158051019
1.562699498,1.333246199,-0.594569392,-0.215636143,-0.674287734,-0.12394165
1.572071525,2.000912119,-0.632834805,-0.215636143,-0.695037573,0.117666382
1.482450671,1.538681867,-0.299006906,-0.215636143,-0.728490803,0.206492864
1.446528504,1.538681867,-0.029039288,-0.183040463,-0.7135541,0.071476611
1.478230592,1.384605116,-0.840921589,-0.170817082,-0.593550956,-0.086989833
1.427679539,1.281887282,-0.040603405,-0.142295862,-0.505170163,-0.185764881
1.375318405,1.127810531,-0.581107953,-0.125998022,-0.29324244,-0.187896717
1.366871117,0.254708943,0.020684109,-0.048583282,-0.030087323,-0.145970617
0.979924735,-0.104803475,-0.066902243,-0.007838682,-0.296704048,-0.21987425
1.159655377,-0.618392644,-0.030286401,0.061427138,-0.171795047,-0.166578361
1.156415853,-0.567033728,-0.235421284,0.163288639,-0.119017606,-0.187896717
1.151788953,-0.823828312,-0.179270282,0.261075679,-0.157531876,-0.168710197
1.146205484,-0.669751561,-0.107981088,0.293671359,-0.180185586,-0.221295474
1.159183112,-0.721110478,-0.117575487,0.314043659,-0.192816721,-0.229822816
1.11749086,-0.618392644,-0.033324152,0.338490419,-0.293360963,-0.231954652
1.086251739,-0.36159806,-0.028099515,0.346639339,-0.300393269,-0.187186105
1.150229616,-0.36159806,-1.203427978,0.338490419,-0.41221698,0.855281489
1.113648978,0.460144611,-0.758384203,-1.307591426,-0.366696508,0.586670207
-1.081747036,-0.977905063,-0.248732113,-1.307591426,-1.169658543,0.350747071
-1.081747036,-0.977905063,-0.248732113,-1.307591426,-1.169658543,0.176647166
0.931300797,-0.669751561,0.359674808,0.864095761,1.221020076,-0.054301688
0.967661482,-0.875187229,0.504916343,0.892616981,1.220559744,-0.060697194
0.908815139,-0.823828312,0.532344805,0.917063741,1.371099305,-0.071356372
0.792500029,-0.721110478,0.545252457,0.945584961,1.527781518,-0.059986582
0.625634896,-0.721110478,0.497920229,0.965957261,1.545676755,-0.05145924
0.499359583,-0.721110478,0.498122277,0.986329561,1.521115104,-0.129626544
0.390471396,-0.618392644,0.492389398,-1.307591426,1.501880072,-0.084147386
-1.081747036,-0.977905063,-0.248732113,-1.307591426,-1.169658543,-0.16231469
-1.081747036,-0.977905063,-0.248732113,-1.307591426,-1.169658543,-0.204240789
0.017718369,0.30606786,0.116660858,0.46072422,-0.120767807,-0.230533428
-0.016278325,0.100632193,0.020872457,0.47702206,-0.222332265,-0.236218323
0.016219516,0.254708943,-0.008916975,0.45664976,-0.320177778,-0.23906077
-0.078459942,0.81965703,-0.114127316,0.4729476,-0.099509885,-0.234797099
-0.031978165,0.665580279,-0.007928099,0.5340645,-0.030648654,-0.237639547
-0.094025649,0.768298113,-0.0301344,0.5340645,-0.078677388,-0.23906077
-0.127140295,-0.104803475,0.010486752,0.54628788,-0.188134336,-0.237639547
-0.15562836,0.30606786,0.308239075,0.55036234,-0.18195595,-0.230533428
-0.24402588,0.254708943,-0.344410087,0.55036234,-0.09707518,-0.226980369
-0.290618257,0.203350026,-0.152047321,0.55036234,-0.076482275,-0.236218323
-0.286304921,-0.258880226,0.041791371,0.59110694,0.061272868,-0.226269757
-0.308758085,-0.310239143,-0.152330793,0.61962816,0.134641199,-0.224137921
-0.273232336,-0.412956977,-0.327877728,0.64814938,-0.16433284,-0.226980369
-0.249826879,-0.567033728,-0.15959139,0.67259614,-0.135895278,-0.229822816
-0.287715198,-0.515674811,-0.061285247,0.71334074,0.02850992,-0.23124404
-0.274190989,-0.669751561,-0.002731053,0.73371304,0.016952867,-0.231954652
-0.265256724,-0.721110478,0.117272108,0.758159801,0.000504084,-0.212768132
-0.238881669,-0.721110478,0.185753226,0.786681021,-0.010874051,-0.154497959
-0.195383517,-0.772469395,0.157400534,0.802978861,-0.120210085,-0.145260005
-0.16160406,-0.721110478,-0.002846042,-1.307591426,-0.285877546,-0.028009049
-1.081747036,-0.977905063,-0.248732113,-1.307591426,-1.169658543,0.052290091
-1.081747036,-0.977905063,-0.248732113,-1.307591426,-1.169658543,0.091373743
1.943122754,1.230528365,0.151814688,-0.056732202,0.004987117,-0.210636296
